time,branch2_seg0,branch1_seg0,branch0_seg0
0.0,0.0,0.0,0.0
0.01,43.5552737802,23.4444376801,87.7549022607
0.02,-140.263390122,-63.8424739523,-201.755932467
0.03,-179.088310842,-103.070805655,-269.674935015
0.04,6.18635428877,-16.4005267178,-7.21888328191
0.05,25.2673568154,5.19060919861,23.1251348374
0.06,-115.443944234,-64.1790167818,-179.638106493
0.07,-122.627533651,-78.6924684454,-192.00100063
0.08,-6.83363631482,-21.9375409739,-26.9200266422
0.09,-13.5834345694,-17.2696517455,-34.8137050755
0.1,-101.702713201,-61.8064442142,-161.8501814
0.11,-90.5032921274,-62.7822020827,-146.896325544
0.12,-20.1807960968,-27.1372191042,-46.2895881606
0.13,-36.080124501,-30.1358545584,-68.0485298966
0.14,-89.1682518956,-57.8034379976,-144.662014964
0.15,-72.6336596192,-53.4878770168,-121.645596365
0.16,-31.4876725553,-31.9437868854,-62.6209592023
0.17,-48.3731055916,-37.4940735772,-86.2897997111
0.18,-78.993405991,-54.0257457066,-130.568015805
0.19,-63.1422342217,-48.4123115435,-108.282511378
0.2,-40.0737621025,-35.9004875038,-75.1140059971
0.21,-54.5861028366,-41.5560087636,-95.668363448
0.22,-71.3712967311,-51.0217142701,-120.022006483
0.23,-58.4228287754,-45.855506844,-101.737285174
0.24,-46.159584274,-38.9202269707,-84.0717118783
0.25,-57.3633468662,-43.6978334958,-100.040904161
0.26,-65.9749616879,-48.8539382015,-112.609278304
0.27,-56.2993184125,-44.72967703,-98.9162698303
0.28,-50.2442741795,-41.1113141903,-90.1842595233
0.29,-58.3110660425,-44.767887465,-101.739895881
0.3,-62.3100637368,-47.4016876653,-107.644989866
0.31,-55.5032058573,-44.3738945985,-98.0053992328
0.32,-52.8506846741,-42.6482513413,-94.1845012327
0.33,-58.3607266392,-45.2722019878,-102.117023827
0.34,-59.8975917281,-46.496648548,-104.455040468
0.35000000000000003,-55.3255016056,-44.4033330058,-97.9860354831
0.36,-54.4256601409,-43.7047553877,-96.7039632346
0.37,-58.0253310318,-45.5002425451,-101.917517792
0.38,-58.3443965557,-45.9811531223,-102.482735412
0.39,-55.3904283664,-44.6040092808,-98.3158542276
0.4,-55.3135586039,-44.4263731504,-98.2319117591
0.41000000000000003,-57.569441878,-45.6093366942,-101.526823428
0.42,-57.3562040277,-45.7282848777,-101.309920021
0.43,-55.5131449444,-44.8636213978,-98.7267057346
0.44,-55.7624133933,-44.9239774673,-99.1220710746
0.45,-57.1169022907,-45.6794038187,-101.126484154
0.46,-56.7260411025,-45.6443007025,-100.64175236
0.47000000000000003,-55.6132801815,-45.1279215087,-99.1010955844
0.48,-55.9419788748,-45.2767770628,-99.6172415033
0.49,-56.7162057898,-45.7470725256,-100.788657016
0.5,-56.3151061829,-45.6639452319,-100.280183809
0.51,-55.6642131536,-45.3742204272,-99.3994078019
0.52,-55.9635499291,-45.5386413371,-99.8770650856
0.53,-56.3784842012,-45.8261302618,-100.531053479
0.54,-56.0340665138,-45.7438897684,-100.097564396
0.55,-55.6645653433,-45.5958520444,-99.6188405079
0.56,-55.8973361299,-45.7447347226,-100.002494685
0.5700000000000001,-56.0984570724,-45.9192196485,-100.34727184
0.58,-55.8275171892,-45.8565056022,-100.014675064
0.59,-55.6229611879,-45.7935071119,-99.7713439491
0.6,-55.7859170467,-45.9171545851,-100.054991812
0.61,-55.8653040802,-46.0242676826,-100.222604008
0.62,-55.6623960929,-45.9848892414,-99.9842601003
0.63,-55.5504545953,-45.9706614157,-99.8726359504
0.64,-55.6540678339,-46.0692982957,-100.070492487
0.65,-55.6678195008,-46.1377321337,-100.141553148
0.66,-55.5197538168,-46.1191181026,-99.9792813747
0.67,-55.4571897768,-46.1313179036,-99.9372938914
0.68,-55.5155268427,-46.2089923591,-100.069078635
0.6900000000000001,-55.4964754387,-46.2561159605,-100.090881178
0.7000000000000001,-55.3892304484,-46.2536503685,-99.985027382
0.71,-55.3512542672,-46.2790484639,-99.9770416879
0.72,-55.3774455402,-46.3406298991,-100.061350373
0.73,-55.3439462251,-46.3765446227,-100.060418069
0.74,-55.2654909611,-46.3855883905,-99.9940087588
0.75,-55.2385742132,-46.4166915229,-100.000555552
0.76,-55.2432083484,-46.4665680491,-100.052470237
0.77,-55.2049490151,-46.4968860377,-100.042868507
0.78,-55.1460105766,-46.5135655267,-100.002780841
0.79,-55.1232318195,-46.5463548734,-100.01389235
0.8,-55.1141522805,-46.5880068649,-100.044634087
0.81,-55.07584486,-46.6156732746,-100.033261162
0.8200000000000001,-55.0297504099,-46.637059521,-100.010040163
0.8300000000000001,-55.0078944054,-46.6695368572,-100.021089192
0.84,-54.9905746481,-46.7055213968,-100.038521917
0.85,-54.9542126798,-46.731963516,-100.02835019
0.86,-54.9163981305,-46.7559851413,-100.01553074
0.87,-54.8942159274,-46.7872734136,-100.024730492
0.88,-54.8722974292,-46.8193709481,-100.034112321
0.89,-54.8384831093,-46.8451956423,-100.026097235
0.9,-54.8059535497,-46.8704628232,-100.019445858
0.91,-54.7831613964,-46.9002709823,-100.026408619
0.92,-54.7589660041,-46.9296706949,-100.03111497
0.93,-54.7276561615,-46.9550709522,-100.025270375
0.9400000000000001,-54.6985167649,-46.980693954,-100.022121327
0.9500000000000001,-54.6752476824,-47.0090118549,-100.027066996
0.96,-54.6501951989,-47.0364814035,-100.029183135
0.97,-54.6210980723,-47.0614625725,-100.025154874
0.98,-54.5941900153,-47.0868982826,-100.023892736
0.99,-54.5707119374,-47.1138314903,-100.027240795
1.0,-54.5456318297,-47.1398525665,-100.028005582
